materiali	invecchiamento	valori
COMPOSITO_SUGLUE	2chewing	6.270996641
COMPOSITO_SUGLUE	2chewing	8.009153318
COMPOSITO_SUGLUE	2chewing	6.244218316
COMPOSITO_SUGLUE	2chewing	7.516188714
COMPOSITO_SUGLUE	2chewing	7.922136713
COMPOSITO_SUGLUE	2chewing	6.475485661
COMPOSITO_SUGLUE	2chewing	6.897357961
COMPOSITO_SUGLUE	2chewing	14.60963067
COMPOSITO_SUGLUE	2chewing	12.12537177
COMPOSITO_SUGLUE	2chewing	13.41350601
COMPOSITO_SUGLUE	2chewing	9.467040673
COMPOSITO_SUGLUE	2chewing	9.086879433
COMPOSITO_SUGLUE	2chewing	15.10297483
COMPOSITO_SUGLUE	2chewing	12.92610387
COMPOSITO_SUGLUE	2chewing	13.9083684
COMPOSITO_SUGLUE	2chewing	12.97335203
COMPOSITO_SUGLUE	2chewing	13.75881605
COMPOSITO_SUGLUE	2chewing	13.04049417
COMPOSITO_SUGLUE	2chewing	11.10586011
COMPOSITO_SUGLUE	2chewing	18.38575393
COMPOSITO_SUGLUE	2chewing	24.51150422
COMPOSITO_SUGLUE	2chewing	17.5315568
COMPOSITO_SUGLUE	2chewing	9.265614276
COMPOSITO_SUGLUE	2chewing	15.3609831
COMPOSITO_SUGLUE	2chewing	16.30246271
COMPOSITO_VARIOLINK	1static	10.41666667
COMPOSITO_VARIOLINK	1static	15.58988764
COMPOSITO_VARIOLINK	1static	12.20614828
COMPOSITO_VARIOLINK	1static	16.1269002
COMPOSITO_VARIOLINK	1static	16.51785714
COMPOSITO_VARIOLINK	1static	20.80103359
COMPOSITO_VARIOLINK	1static	14.60843373
COMPOSITO_VARIOLINK	1static	22.53782031
COMPOSITO_VARIOLINK	1static	16.67181229
COMPOSITO_VARIOLINK	1static	10.33950617
COMPOSITO_VARIOLINK	1static	15.82633053
COMPOSITO_VARIOLINK	1static	17.57706869
COMPOSITO_VARIOLINK	1static	18.1402439
COMPOSITO_VARIOLINK	1static	11.9047619
COMPOSITO_VARIOLINK	1static	9.011627907
COMPOSITO_VARIOLINK	1static	11.80836707
COMPOSITO_VARIOLINK	1static	9.338061466
COMPOSITO_VARIOLINK	1static	9.531285041
COMPOSITO_VARIOLINK	1static	19.08617698
COMPOSITO_VARIOLINK	1static	25.20814061
COMPOSITO_VARIOLINK	1static	16.58163265
COMPOSITO_VARIOLINK	1static	15.73521432
COMPOSITO_VARIOLINK	1static	21.1352657
COMPOSITO_VARIOLINK	1static	27.17077119
COMPOSITO_VARIOLINK	1static	12.12121212
COMPOSITO_VARIOLINK	1static	14.8962149
COMPOSITO_VARIOLINK	1static	19.63534362
COMPOSITO_VARIOLINK	1static	25.80149319
COMPOSITO_VARIOLINK	1static	21.00635076
COMPOSITO_VARIOLINK	1static	17.73455378
COMPOSITO_VARIOLINK	1static	22.22222222
COMPOSITO_VARIOLINK	1static	21.86355311
COMPOSITO_VARIOLINK	1static	22.21434479
COMPOSITO_VARIOLINK	1static	27.32447818
COMPOSITO_VARIOLINK	1static	16.87598116
COMPOSITO_VARIOLINK	1static	27.21598002
COMPOSITO_VARIOLINK	1static	11.7932709
COMPOSITO_VARIOLINK	1static	12.58293297
COMPOSITO_VARIOLINK	1static	16.47220316
COMPOSITO_VARIOLINK	1static	21.62225339
COMPOSITO_VARIOLINK	1static	15.16694963
COMPOSITO_VARIOLINK	1static	19.67513155
COMPOSITO_VARIOLINK	1static	26.65173572
COMPOSITO_VARIOLINK	1static	16.77892
COMPOSITO_VARIOLINK	1static	18.03885291
COMPOSITO_VARIOLINK	1static	23.60916316
COMPOSITO_VARIOLINK	1static	24.31610942
COMPOSITO_VARIOLINK	1static	21.15851544
COMPOSITO_VARIOLINK	1static	22.56616257
COMPOSITO_VARIOLINK	1static	11.57082749
COMPOSITO_VARIOLINK	1static	14.68547641
COMPOSITO_VARIOLINK	1static	17.18092567
COMPOSITO_VARIOLINK	1static	20.48670062
COMPOSITO_VARIOLINK	1static	26.99611073
COMPOSITO_VARIOLINK	1static	12.81464531
COMPOSITO_VARIOLINK	1static	18.11594203
COMPOSITO_VARIOLINK	1static	11.77003169
COMPOSITO_VARIOLINK	1static	15.26364477
COMPOSITO_VARIOLINK	2chewing	15.63886424
COMPOSITO_VARIOLINK	2chewing	15.62701795
COMPOSITO_VARIOLINK	2chewing	16.85823755
COMPOSITO_VARIOLINK	2chewing	20.27629234
COMPOSITO_VARIOLINK	2chewing	9.282436379
COMPOSITO_VARIOLINK	2chewing	10.30235162
COMPOSITO_VARIOLINK	2chewing	16.8418538
COMPOSITO_VARIOLINK	2chewing	18.80877743
COMPOSITO_VARIOLINK	2chewing	7.958371595
COMPOSITO_VARIOLINK	2chewing	20.28347996
COMPOSITO_VARIOLINK	2chewing	21.30522539
COMPOSITO_VARIOLINK	2chewing	8.003201281
COMPOSITO_VARIOLINK	2chewing	24.69387755
COMPOSITO_VARIOLINK	2chewing	14.52862678
COMPOSITO_VARIOLINK	2chewing	10.32799909
COMPOSITO_VARIOLINK	2chewing	12.40496198
COMPOSITO_VARIOLINK	2chewing	8.270321361
COMPOSITO_VARIOLINK	2chewing	8.622620381
COMPOSITO_VARIOLINK	2chewing	16.64402174
COMPOSITO_VARIOLINK	2chewing	16.61486971
COMPOSITO_VARIOLINK	2chewing	12.68115942
COMPOSITO_VARIOLINK	2chewing	17.24524076
COMPOSITO_VARIOLINK	2chewing	22.46376812
COMPOSITO_VARIOLINK	2chewing	16.87891652
COMPOSITO_VARIOLINK	2chewing	19.10429064
COMPOSITO_VARIOLINK	2chewing	14.16122004
COMPOSITO_VARIOLINK	2chewing	21.69243986
COMPOSITO_VARIOLINK	2chewing	14.79825402
COMPOSITO_VARIOLINK	2chewing	11.46165662
COMPOSITO_VARIOLINK	2chewing	25.27472527
COMPOSITO_VARIOLINK	2chewing	20.18389773
COMPOSITO_VARIOLINK	2chewing	12.01105442
COMPOSITO_VARIOLINK	2chewing	24.52956989
COMPOSITO_VARIOLINK	2chewing	11.05651106
COMPOSITO_VARIOLINK	2chewing	10.52631579
COMPOSITO_VARIOLINK	2chewing	8.187134503
COMPOSITO_VARIOLINK	2chewing	8.522727273
COMPOSITO_VARIOLINK	2chewing	21.39222942
COMPOSITO_VARIOLINK	2chewing	9.32631117
COMPOSITO_VARIOLINK	2chewing	16.52631579
COMPOSITO_VARIOLINK	2chewing	20.79303675
COMPOSITO_VARIOLINK	2chewing	8.651286602
COMPOSITO_VARIOLINK	2chewing	8.270676692
COMPOSITO_VARIOLINK	2chewing	15.79301075
COMPOSITO_VARIOLINK	2chewing	8.37483024
COMPOSITO_VARIOLINK	2chewing	22.8443449
COMPOSITO_VARIOLINK	2chewing	7.981492192
COMPOSITO_VARIOLINK	2chewing	11.14119117
COMPOSITO_VARIOLINK	2chewing	13.4751773
COMPOSITO_VARIOLINK	2chewing	21.50537634
COMPOSITO_VARIOLINK	2chewing	16.14035088
COMPOSITO_VARIOLINK	2chewing	10.41666667
COMPOSITO_VARIOLINK	2chewing	24.58628842
COMPOSITO_VARIOLINK	2chewing	8.510638298
COMPOSITO_VARIOLINK	2chewing	12.83533765
COMPOSITO_VARIOLINK	2chewing	18.31501832
COMPOSITO_VARIOLINK	2chewing	8.8389871
COMPOSITO_VARIOLINK	2chewing	12.59227095
COMPOSITO_VARIOLINK	2chewing	15.30612245
